genome_id	genome_name	mlst	isolation_source	isolation_country	collection_year	host_name	genome_length	genome_status	contigs
573.12771	Klebsiella pneumoniae strain AR_0126	MLST.klebsiella.45					5598174	Complete	4
573.12772	Klebsiella pneumoniae strain AR_0113	MLST.klebsiella.258					5849839	Complete	6
573.12773	Klebsiella pneumoniae strain AR_0138	MLST.klebsiella.147					5708112	Complete	5
573.12777	Klebsiella pneumoniae strain AR_0120	MLST.klebsiella.258					5995730	Complete	5
573.12778	Klebsiella pneumoniae strain AR_0125	MLST.klebsiella.258					5726558	Complete	6
573.12779	Klebsiella pneumoniae strain AR_0139	MLST.klebsiella.37					6054276	Complete	5
573.12780	Klebsiella pneumoniae strain AR_0145	MLST.klebsiella.147					5656270	Complete	5
573.12781	Klebsiella pneumoniae strain AR_0152	MLST.klebsiella.147					5782129	Complete	6
573.12782	Klebsiella pneumoniae strain AR_0148	MLST.klebsiella.11					5798614	Complete	5
573.12783	Klebsiella pneumoniae strain AR_0107	MLST.klebsiella.1161					5658318	Complete	3
573.12796	Klebsiella pneumoniae strain MLST-15	MLST.klebsiella.15	wound	USA	2016	Human, Homo sapiens	5816577	Complete	4
573.12858	Klebsiella pneumoniae 3243	MLST.klebsiella.1426		USA		Human, Homo sapiens	5502915	WGS	354
573.12859	Klebsiella pneumoniae 3248	MLST.klebsiella.133		USA		Human, Homo sapiens	5605408	WGS	316
573.12860	Klebsiella pneumoniae 3316	MLST.klebsiella.418		USA		Human, Homo sapiens	5807387	WGS	436
573.12861	Klebsiella pneumoniae 35	MLST.klebsiella.2267		USA		Human, Homo sapiens	5188098	WGS	315
573.12862	Klebsiella pneumoniae 3288	MLST.klebsiella.258		USA		Human, Homo sapiens	5422754	WGS	369
573.12863	Klebsiella pneumoniae 105	MLST.klebsiella.4731		USA		Human, Homo sapiens	5134488	WGS	301
573.12864	Klebsiella pneumoniae 3376	MLST.klebsiella.258		USA		Human, Homo sapiens	5680867	WGS	353
573.12865	Klebsiella pneumoniae 34	MLST.klebsiella.20		USA		Human, Homo sapiens	5329701	WGS	284
573.12867	Klebsiella pneumoniae 3345	MLST.klebsiella.307		USA		Human, Homo sapiens	5484958	WGS	297
573.12868	Klebsiella pneumoniae 78	MLST.klebsiella.86		USA		Human, Homo sapiens	5445426	WGS	351
573.12869	Klebsiella pneumoniae 3229	MLST.klebsiella.323		USA		Human, Homo sapiens	5445745	WGS	302
573.12870	Klebsiella pneumoniae 3399	MLST.klebsiella.15		USA		Human, Homo sapiens	5618274	WGS	937
573.12871	Klebsiella pneumoniae 94	MLST.klebsiella.37		USA		Human, Homo sapiens	5653511	WGS	434
573.12872	Klebsiella pneumoniae 15	MLST.klebsiella.412		USA		Human, Homo sapiens	5504607	WGS	245
573.12873	Klebsiella pneumoniae 106	MLST.klebsiella.218		USA		Human, Homo sapiens	5547134	WGS	371
573.12874	Klebsiella pneumoniae 3294	MLST.klebsiella.393		USA		Human, Homo sapiens	5622464	WGS	277
573.12875	Klebsiella pneumoniae 77	MLST.klebsiella.8		USA		Human, Homo sapiens	5566435	WGS	481
573.12876	Klebsiella pneumoniae 3296	MLST.klebsiella.15		USA		Human, Homo sapiens	5448241	WGS	355
573.12877	Klebsiella pneumoniae 3400	MLST.klebsiella.307		USA		Human, Homo sapiens	5743603	WGS	490
573.12878	Klebsiella pneumoniae 3262	MLST.klebsiella.16		USA		Human, Homo sapiens	5399893	WGS	232
573.12879	Klebsiella pneumoniae 3289	MLST.klebsiella.15		USA		Human, Homo sapiens	5518458	WGS	965
573.12880	Klebsiella pneumoniae 3365	MLST.klebsiella.258		USA		Human, Homo sapiens	5608373	WGS	309
573.12881	Klebsiella pneumoniae 108	MLST.klebsiella.966		USA		Human, Homo sapiens	5337557	WGS	299
573.12882	Klebsiella pneumoniae 113	MLST.klebsiella.37		USA		Human, Homo sapiens	5386313	WGS	342
573.12883	Klebsiella pneumoniae 48	MLST.klebsiella.218		USA		Human, Homo sapiens	5558393	WGS	371
573.12884	Klebsiella pneumoniae 3335	MLST.klebsiella.258		USA		Human, Homo sapiens	5782945	WGS	449
573.12885	Klebsiella pneumoniae 91	MLST.klebsiella.753		USA		Human, Homo sapiens	5631413	WGS	840
573.12886	Klebsiella pneumoniae 53	MLST.klebsiella.309		USA		Human, Homo sapiens	6390391	WGS	577
573.12887	Klebsiella pneumoniae 3314	MLST.klebsiella.258		USA		Human, Homo sapiens	5801353	WGS	350
573.12888	Klebsiella pneumoniae 3279	MLST.klebsiella.258		USA		Human, Homo sapiens	5474772	WGS	347
573.12889	Klebsiella pneumoniae 51	MLST.klebsiella.2330		USA		Human, Homo sapiens	5737984	WGS	394
573.12890	Klebsiella pneumoniae 103	MLST.klebsiella.17		USA		Human, Homo sapiens	5395328	WGS	351
573.12891	Klebsiella pneumoniae 3310	MLST.Klebsiella_pneumoniae.1662		USA		Human, Homo sapiens	5398887	WGS	306
573.12892	Klebsiella pneumoniae 3371	MLST.klebsiella.70		USA		Human, Homo sapiens	5683317	WGS	357
573.12893	Klebsiella pneumoniae 3238	MLST.klebsiella.2975		USA		Human, Homo sapiens	5522467	WGS	481
573.12894	Klebsiella pneumoniae 3264	MLST.klebsiella.307		USA		Human, Homo sapiens	5519433	WGS	293
573.12895	Klebsiella pneumoniae 3209	MLST.klebsiella.492		USA		Human, Homo sapiens	5540986	WGS	336
573.12896	Klebsiella pneumoniae 3300	MLST.klebsiella.492		USA		Human, Homo sapiens	5472418	WGS	329
573.12897	Klebsiella pneumoniae 3241	MLST.klebsiella.15		USA		Human, Homo sapiens	5594663	WGS	332
573.12898	Klebsiella pneumoniae 3216	MLST.klebsiella.307		USA		Human, Homo sapiens	5545193	WGS	370
573.12899	Klebsiella pneumoniae 3368	MLST.klebsiella.2217		USA		Human, Homo sapiens	5400565	WGS	343
573.12900	Klebsiella pneumoniae 1	MLST.klebsiella.1496		USA		Human, Homo sapiens	5587484	WGS	429
573.12901	Klebsiella pneumoniae 39	MLST.klebsiella.36		USA		Human, Homo sapiens	5408218	WGS	379
573.12902	Klebsiella pneumoniae 119			USA		Human, Homo sapiens	5301660	WGS	335
573.12903	Klebsiella pneumoniae 61	MLST.klebsiella.152		USA		Human, Homo sapiens	5393033	WGS	448
573.12904	Klebsiella pneumoniae 6	MLST.klebsiella.1180		USA		Human, Homo sapiens	5595436	WGS	378
573.12905	Klebsiella pneumoniae 3263	MLST.klebsiella.307		USA		Human, Homo sapiens	5616421	WGS	328
573.12906	Klebsiella pneumoniae 98	MLST.klebsiella.20		USA		Human, Homo sapiens	5547015	WGS	341
573.12907	Klebsiella pneumoniae 89	MLST.klebsiella.37		USA		Human, Homo sapiens	5443803	WGS	329
573.12908	Klebsiella pneumoniae 74	MLST.Klebsiella_pneumoniae.253		USA		Human, Homo sapiens	5611085	WGS	472
573.12909	Klebsiella pneumoniae 3317	MLST.klebsiella.258		USA		Human, Homo sapiens	5850151	WGS	618
573.12910	Klebsiella pneumoniae 3315	MLST.klebsiella.45		USA		Human, Homo sapiens	5521810	WGS	224
573.12911	Klebsiella pneumoniae 3259	MLST.klebsiella.492		USA		Human, Homo sapiens	5560808	WGS	354
573.12912	Klebsiella pneumoniae 79	MLST.klebsiella.20		USA		Human, Homo sapiens	5774574	WGS	304
573.12913	Klebsiella pneumoniae 3318	MLST.klebsiella.258		USA		Human, Homo sapiens	5828077	WGS	395
573.12914	Klebsiella pneumoniae 3275	MLST.klebsiella.25		USA		Human, Homo sapiens	5620738	WGS	323
573.12915	Klebsiella pneumoniae 3401	MLST.klebsiella.261		USA		Human, Homo sapiens	5506538	WGS	196
573.12916	Klebsiella pneumoniae 3338	MLST.klebsiella.1373		USA		Human, Homo sapiens	5645248	WGS	399
573.12917	Klebsiella pneumoniae 112	MLST.klebsiella.13		USA		Human, Homo sapiens	5166027	WGS	283
573.12918	Klebsiella pneumoniae 3340	MLST.klebsiella.101		USA		Human, Homo sapiens	5559138	WGS	298
573.12919	Klebsiella pneumoniae 3346	MLST.klebsiella.307		USA		Human, Homo sapiens	5382996	WGS	457
573.12920	Klebsiella pneumoniae 3308	MLST.klebsiella.258		USA		Human, Homo sapiens	5525085	WGS	278
573.12921	Klebsiella pneumoniae 73	MLST.klebsiella.846		USA		Human, Homo sapiens	5464810	WGS	354
573.12922	Klebsiella pneumoniae 60	MLST.klebsiella.35		USA		Human, Homo sapiens	5628426	WGS	1106
573.12923	Klebsiella pneumoniae 83	MLST.klebsiella.1824		USA		Human, Homo sapiens	5557604	WGS	288
573.12924	Klebsiella pneumoniae 3230	MLST.klebsiella.492		USA		Human, Homo sapiens	5548763	WGS	344
573.12925	Klebsiella pneumoniae 93	MLST.klebsiella.17		USA		Human, Homo sapiens	5315047	WGS	332
573.12926	Klebsiella pneumoniae 23	MLST.klebsiella.774		USA		Human, Homo sapiens	5068350	WGS	225
