genome_id	genome_name	mlst	isolation_source	isolation_country	collection_year	host_name	genome_length	genome_status	contigs
562.100000	Escherichia coli c0fb0992-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.131		Norway	2014		5091112	WGS	69
562.100001	Escherichia coli ca7bc2ea-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.998		Norway	2014		5078363	WGS	41
562.100002	Escherichia coli ca96892c-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.141		Norway	2014		5147811	WGS	107
562.100003	Escherichia coli c1b4da3e-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.131		Norway	2014		5118160	WGS	128
562.100004	Escherichia coli c1cf9a18-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.58		Norway	2014		4844863	WGS	117
562.100005	Escherichia coli c1e96df8-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.101		Norway	2014		4861950	WGS	87
562.100006	Escherichia coli 87cd86fa-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.127		Norway	2015		5054133	WGS	97
562.100007	Escherichia coli 888f8c46-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.69		Norway	2015		5263294	WGS	145
562.100008	Escherichia coli 8a3cdde6-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.95		Norway	2015		5348416	WGS	206
562.100009	Escherichia coli 88af15d4-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.34		Norway	2015		4896586	WGS	110
562.100010	Escherichia coli 8968ec34-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.127		Norway	2015		4995207	WGS	65
562.100011	Escherichia coli 930d7700-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.73		Norway	2015		5142277	WGS	110
562.100012	Escherichia coli 898385e4-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.73		Norway	2015		5113199	WGS	113
562.100013	Escherichia coli 8053517e-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.95		Norway	2015		5045835	WGS	87
562.100014	Escherichia coli 8b1c8fea-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.4598		Norway	2015		4738879	WGS	71
562.100015	Escherichia coli 8a579262-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.73		Norway	2015		5229446	WGS	206
562.100016	Escherichia coli 8bf909f2-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.2328		Norway	2015		4956077	WGS	169
562.100017	Escherichia coli 8ccdeb54-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.1861		Norway	2015		4883947	WGS	68
562.100018	Escherichia coli e9c25c5a-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.131		Norway	2015		5362448	WGS	116
562.100019	Escherichia coli 8b3954a4-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.95		Norway	2015		5374391	WGS	80
562.100020	Escherichia coli 8e95ebee-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.95		Norway	2015		5016233	WGS	56
562.100021	Escherichia coli ea3e4f9a-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.1304		Norway	2015		4551511	WGS	50
562.100022	Escherichia coli fd55e764-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.69		Norway	2015		5050157	WGS	127
562.100023	Escherichia coli ef72b1ae-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.131		Norway	2015		5273801	WGS	131
562.100024	Escherichia coli 8daf227c-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.127		Norway	2015		5066256	WGS	104
562.100025	Escherichia coli 8f74c4ae-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.88		Norway	2015		4906368	WGS	149
562.100026	Escherichia coli 8fa923ca-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.372		Norway	2015		5064433	WGS	64
562.100027	Escherichia coli 23b5be5c-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.1723		Norway	2015		5025095	WGS	98
562.100028	Escherichia coli 86a2c1a0-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.127		Norway	2015		5118529	WGS	90
562.100029	Escherichia coli 1bebedf4-7bb9-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.636		Norway	2015		4863264	WGS	57
562.100030	Escherichia coli 87b5ee14-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.80		Norway	2015		5122628	WGS	93
562.100031	Escherichia coli 872d5fcc-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.69		Norway	2015		5020370	WGS	97
562.100032	Escherichia coli c74bd44e-7bb8-11e9-a8d3-68b59976a384	MLST.ecoli_achtman_4.95		Norway	2015		5277085	WGS	130
