genome_id	genome_name	mlst	isolation_source	isolation_country	collection_year	host_name	genome_length	genome_status	contigs
470.10000	Acinetobacter baumannii SRR3159159	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096626	WGS	127
470.10001	Acinetobacter baumannii SRR3159160	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096692	WGS	128
470.10002	Acinetobacter baumannii SRR3159152	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096539	WGS	126
470.10003	Acinetobacter baumannii SRR3159162	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096047	WGS	128
470.10004	Acinetobacter baumannii SRR3159168	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096412	WGS	128
470.10005	Acinetobacter baumannii SRR3159167	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4095415	WGS	129
470.10006	Acinetobacter baumannii SRR3159163	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4095707	WGS	127
470.10007	Acinetobacter baumannii SRR3159164	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4094578	WGS	130
470.10008	Acinetobacter baumannii SRR3159165	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4095796	WGS	131
470.10009	Acinetobacter baumannii SRR3159166	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096308	WGS	122
470.10010	Acinetobacter baumannii SRR3159170	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4096749	WGS	129
470.10011	Acinetobacter baumannii SRR3159169	MLST.abaumannii_2.32		USA		Human, Homo sapiens	4095443	WGS	127
470.10012	Acinetobacter baumannii SRR3170229	MLST.abaumannii_2.1		USA		Human, Homo sapiens	3990979	WGS	70
470.10013	Acinetobacter baumannii SRR3170231	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3917852	WGS	91
470.10015	Acinetobacter baumannii SRR3170234	MLST.abaumannii_2.3		USA		Human, Homo sapiens	3898946	WGS	67
470.10016	Acinetobacter baumannii SRR3170233	MLST.abaumannii_2.2		USA		Human, Homo sapiens	4029892	WGS	115
470.10017	Acinetobacter baumannii SRR3170235	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3868159	WGS	92
470.10018	Acinetobacter baumannii SRR3170236	MLST.abaumannii_2.2194		USA		Human, Homo sapiens	3844299	WGS	21
470.10019	Acinetobacter baumannii SRR3170232	MLST.abaumannii_2.414		USA		Human, Homo sapiens	3953962	WGS	73
470.10020	Acinetobacter baumannii SRR3170238	MLST.abaumannii_2.3		USA		Human, Homo sapiens	4000155	WGS	70
470.10021	Acinetobacter baumannii SRR3170237	MLST.abaumannii_2.3		USA		Human, Homo sapiens	3949259	WGS	71
470.10022	Acinetobacter baumannii SRR3170239	MLST.abaumannii_2.3		USA		Human, Homo sapiens	3995467	WGS	86
470.10023	Acinetobacter baumannii SRR3170241	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3958785	WGS	76
470.10024	Acinetobacter baumannii SRR3170240	MLST.abaumannii_2.3		USA		Human, Homo sapiens	3868672	WGS	38
470.10025	Acinetobacter baumannii SRR3170242	MLST.abaumannii_2.563		USA		Human, Homo sapiens	4012192	WGS	40
470.10026	Acinetobacter baumannii SRR3170254	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3885143	WGS	98
470.10027	Acinetobacter baumannii SRR3170261	MLST.abaumannii_2.976		USA		Human, Homo sapiens	3986570	WGS	47
470.10028	Acinetobacter baumannii SRR3170260	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3914449	WGS	89
470.10029	Acinetobacter baumannii SRR3170246	MLST.abaumannii_2.410		USA		Human, Homo sapiens	5087923	WGS	2818
470.10030	Acinetobacter baumannii SRR3170253	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3885950	WGS	97
470.10031	Acinetobacter baumannii SRR3170243	MLST.abaumannii_2.85		USA		Human, Homo sapiens	4047649	WGS	67
470.10032	Acinetobacter baumannii SRR3170257	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3909956	WGS	100
470.10033	Acinetobacter baumannii SRR3170256	MLST.abaumannii_2.203		USA		Human, Homo sapiens	3885208	WGS	237
470.10034	Acinetobacter baumannii SRR3170255	MLST.abaumannii_2.837		USA		Human, Homo sapiens	3689587	WGS	180
470.10035	Acinetobacter baumannii SRR3170244	MLST.abaumannii_2.2		USA		Human, Homo sapiens	3853736	WGS	44
